nomes;idade;cidade;estado;cpf;cnpj;cpfStatus;cnpjStatus
Dennis Daniels;31;ACRELNDIA;AC;97566536800;06589184909526;True;True
Leah Becker;42;GUABRANCA;AL;42526380707;25673336235020;True;True
Sally Ford;18;ALVARES;AM;34647754103;26543101702989;True;True
Colleen Duncan;21;SERRADONAVIO;AP;25253156003;19062080510098;True;True
Jeff Stephenson;73;ABARA;BA;49668886542;97794530015384;True;True
Sydney Curtis;85;ABAIARA;CE;50620290749;29476298085678;True;True
Kelly Matthews;44;Braslia;DF;39154836808;24709301957761;True;True
Juan Ruiz;39;AFONSOCLUDIO;ES;22688119648;02420338147900;True;True
Brian Thomas;26;ABADIADEGOIS;GO;47475484084;70723419110335;True;True
Sara Ayers;62;AAILNDIA;MA;94830978864;88253689548382;True;True
Brady Cruz;83;ABADIADOSDOURADOS;MG;03438452456;13118105069639;True;True
Samantha Wright;32;GUACLARA;MS;22203654090;04310317320252;True;True
Richard Turner;85;ACORIZAL;MT;79059712285;75595541223248;True;True
Ashley Sanders;73;ABAETETUBA;PA;75206513989;06923815165128;True;True
Thomas Jones;45;GUABRANCA;PB;34565179806;26574533273304;True;True
Ian Murray;68;ABREUELIMA;PE;15277717099;85202887368851;True;True
Janice Jensen;79;ACAU;PI;45081993646;89596067898809;True;True
Jeffrey Cunningham;48;ABATI;PR;66549028825;18866688344242;True;True
Amanda Glass;49;ANGRADOSREIS;RJ;86173803577;87380936406714;True;True
Kaitlyn Johnson;65;ACARI;RN;89737004213;40893546741494;True;True
Daniel Nelson;56;ALTAFLORESTADOESTE;RO;21019230681;39414072702140;True;True
Jimmy Neal;47;AMAJARI;RR;85072768490;25910961614308;True;True
Amy Ramirez;59;ACEGU;RS;47660084135;27054334917081;True;True
Mr. Andrew Chapman MD;55;ABDONBATISTA;SC;64597685286;26848890535610;True;True
Ronnie Vazquez;42;AMPARODESOFRANCISCO;SE;85268818848;10194559328639;True;True
Eric Leonard DDS;48;ADAMANTINA;SP;03802580133;53997444309399;True;True
Cheryl Daniel;81;ABREULNDIA;TO;41518337651;16558428654046;True;True
John Gutierrez;75;ACRELNDIA;AC;48579786444;51477910241483;True;True
Carla White;26;GUABRANCA;AL;87007608116;54785062054510;True;True
Scott Clark;86;ALVARES;AM;01086471296;22967376001699;True;True
Kelsey Hicks;22;SERRADONAVIO;AP;73800120704;54407698631932;True;True
Tanya Boyd;88;ABARA;BA;35813255605;08803153461585;True;True
David Garcia;31;ABAIARA;CE;10210388811;65359727572419;True;True
Michelle Sullivan;45;Braslia;DF;60338450726;18355115649365;True;True
Paula Wells;55;AFONSOCLUDIO;ES;31166242919;41934462986603;True;True
Lisa Fisher;49;ABADIADEGOIS;GO;33626344436;79856843725548;True;True
Kayla Martin;79;AAILNDIA;MA;49643966062;24202707261295;True;True
Kathryn Johnson;28;ABADIADOSDOURADOS;MG;14503645510;14740883542900;True;True
Craig Wallace;51;GUACLARA;MS;72852203456;52726400968055;True;True
Haley Serrano;31;ACORIZAL;MT;00904064000;82175250951962;True;True
Thomas Lindsey;88;ABAETETUBA;PA;13577872004;47759550719238;True;True
Andrew Francis;69;GUABRANCA;PB;06694239980;52081659158337;True;True
Tiffany Dean;44;ABREUELIMA;PE;10858476401;92164335193964;True;True
Michael Thompson;76;ACAU;PI;75747818694;18684837331789;True;True
Dalton Summers;50;ABATI;PR;09507015728;08475711599204;True;True
Debra Jennings;58;ANGRADOSREIS;RJ;54816784896;69500353849608;True;True
Andrew Olson;88;ACARI;RN;99281336383;92393983639915;True;True
Sarah Brown;35;ALTAFLORESTADOESTE;RO;17281287224;41420682752383;True;True
Miranda Pittman;37;AMAJARI;RR;71722038012;59659930319931;True;True
Pamela Manning;68;ACEGU;RS;00067814891;63100755162838;True;True
Ann Collins;18;ABDONBATISTA;SC;92848876310;50612600931565;True;True
Kimberly Garcia;60;AMPARODESOFRANCISCO;SE;52063020906;83818138763026;True;True
Billy Cross;81;ADAMANTINA;SP;25745426659;08698401812890;True;True
Charles Rivera;60;ABREULNDIA;TO;86569526502;18767344587421;True;True
Abigail Bradley;41;ACRELNDIA;AC;14120370852;75214984462157;True;True
Jared Hernandez;72;GUABRANCA;AL;51072799707;70268860094409;True;True
Scott Jackson;87;ALVARES;AM;79455779978;03183153323626;True;True
Gregory Brown;31;SERRADONAVIO;AP;66210964885;34139727088243;True;True
Kelly Jenkins;79;ABARA;BA;63740436506;57302550382603;True;True
Craig Reynolds;82;ABAIARA;CE;44084897434;42490414458532;True;True
Cindy Brown;28;Braslia;DF;11561438537;89158131394480;True;True
Diana Armstrong;50;AFONSOCLUDIO;ES;21054162336;09255575472722;True;True
Travis Morris;35;ABADIADEGOIS;GO;50975942239;96592493662984;True;True
Edwin Martin;44;AAILNDIA;MA;72655983262;41619731869500;True;True
